month,opening,white_bucket,black_bucket,games,white_pct,black_pct,draw_pct
2013-01,Queen's Pawn Game: Zukertort Variation,1600,1600,60,51.667,46.667,1.667
2013-01,Queen's Pawn Game: Chigorin Variation,1400,1500,60,58.333,40.000,1.667
2013-01,French Defense: Normal Variation,1500,1500,59,59.322,35.593,5.085
2013-01,Queen's Pawn Game: Chigorin Variation,1500,1600,59,44.068,54.237,1.695
2013-01,French Defense: Knight Variation,1600,1600,59,44.068,54.237,1.695
2013-01,Italian Game,1500,1500,59,52.542,40.678,6.780
2013-01,Pirc Defense #4,1500,1500,59,57.627,40.678,1.695
2013-01,Queen's Pawn Game,1700,1600,59,52.542,45.763,1.695
2013-01,French Defense: Knight Variation,1700,1700,59,44.068,50.847,5.085
2013-01,Caro-Kann Defense,1600,1500,59,52.542,44.068,3.390
2013-01,Scandinavian Defense,1300,1400,58,53.448,44.828,1.724
2013-01,Modern Defense,1800,1600,58,79.310,18.966,1.724
2013-01,French Defense: Knight Variation,1400,1500,58,36.207,60.345,3.448
2013-01,Sicilian Defense,1700,1600,58,50.000,43.103,6.897
2013-01,Sicilian Defense,1600,1500,58,50.000,46.552,3.448
2013-01,Sicilian Defense: Old Sicilian,1500,1500,58,46.552,51.724,1.724
2013-01,Hungarian Opening,1500,1400,57,59.649,38.596,1.754
2013-01,Italian Game: Anti-Fried Liver Defense,1600,1500,57,64.912,29.825,5.263
2013-01,French Defense: Knight Variation,1500,1400,57,57.895,40.351,1.754
2013-01,Queen's Pawn Game,1600,1800,57,33.333,63.158,3.509
2013-01,Philidor Defense #3,1700,1500,57,85.965,12.281,1.754
2013-01,Pirc Defense #4,1500,1400,57,43.860,52.632,3.509
2013-01,Owen Defense,1300,1400,57,42.105,56.140,1.754
2013-01,Caro-Kann Defense,1800,1800,57,64.912,33.333,1.754
2013-01,Hungarian Opening,1400,1500,56,42.857,55.357,1.786
2013-01,Sicilian Defense,1600,1700,56,39.286,57.143,3.571
2013-01,Horwitz Defense,1700,1500,56,67.857,28.571,3.571
2013-01,Caro-Kann Defense,1800,1700,56,55.357,41.071,3.571
2013-01,Caro-Kann Defense,1700,1500,55,76.364,21.818,1.818
